iter	Passed	Remaining
802	6686	1640
803	6693	1631
804	6701	1623
805	6708	1614
806	6715	1606
807	6722	1597
808	6729	1588
809	6737	1580
810	6744	1571
811	6752	1563
812	6759	1554
813	6767	1546
814	6774	1537
815	6781	1529
816	6789	1520
817	6796	1512
818	6803	1503
819	6811	1495
820	6818	1486
821	6826	1478
822	6833	1469
823	6841	1461
824	6848	1452
825	6856	1444
826	6863	1435
827	6871	1427
828	6879	1419
829	6886	1410
830	6894	1402
831	6902	1393
832	6909	1385
833	6917	1376
834	6925	1368
835	6933	1360
836	6940	1351
837	6947	1343
838	6954	1334
839	6961	1325
840	6968	1317
841	6976	1309
842	6984	1300
843	6992	1292
844	7000	1284
845	7009	1275
846	7016	1267
847	7025	1259
848	7033	1250
849	7041	1242
850	7049	1234
851	7057	1225
852	7065	1217
853	7073	1209
854	7081	1200
855	7089	1192
856	7096	1184
857	7103	1175
858	7110	1167
859	7117	1158
860	7124	1150
861	7132	1141
862	7139	1133
863	7147	1125
864	7154	1116
865	7161	1108
866	7168	1099
867	7176	1091
868	7184	1082
869	7191	1074
870	7199	1066
871	7206	1057
872	7213	1049
873	7221	1041
874	7228	1032
875	7236	1024
876	7243	1015
877	7251	1007
878	7258	999
879	7266	990
880	7273	982
881	7281	974
882	7288	965
883	7296	957
884	7304	949
885	7312	940
886	7319	932
887	7327	924
888	7335	915
889	7343	907
890	7351	899
891	7359	891
892	7366	882
893	7373	874
894	7381	865
895	7388	857
896	7396	849
897	7404	841
898	7411	832
899	7419	824
900	7426	815
901	7433	807
902	7441	799
903	7448	791
904	7456	782
905	7463	774
906	7470	766
907	7479	757
908	7487	749
909	7496	741
910	7504	733
911	7513	724
912	7521	716
913	7529	708
914	7537	700
915	7546	692
916	7555	683
917	7563	675
918	7571	667
919	7578	659
920	7586	650
921	7594	642
922	7602	634
923	7610	625
924	7617	617
925	7624	609
926	7632	601
927	7639	592
928	7646	584
929	7654	576
930	7662	567
931	7669	559
932	7677	551
933	7685	543
934	7692	534
935	7700	526
936	7707	518
937	7715	509
938	7722	501
939	7730	493
940	7739	485
941	7747	477
942	7756	468
943	7764	460
944	7772	452
945	7780	444
946	7788	435
947	7796	427
948	7803	419
949	7811	411
950	7819	402
951	7826	394
952	7834	386
953	7842	378
954	7849	369
955	7857	361
956	7864	353
957	7871	345
958	7878	336
959	7885	328
960	7893	320
961	7900	312
962	7908	303
963	7915	295
964	7922	287
965	7930	279
966	7937	270
967	7944	262
968	7952	254
969	7959	246
970	7966	237
971	7974	229
972	7982	221
973	7990	213
974	7998	205
975	8006	196
976	8013	188
977	8020	180
978	8028	172
979	8035	163
980	8042	155
981	8049	147
982	8057	139
983	8064	131
984	8071	122
985	8078	114
986	8086	106
987	8095	98
988	8103	90
989	8112	81
990	8119	73
991	8127	65
992	8135	57
993	8143	49
994	8151	40
995	8159	32
996	8167	24
997	8175	16
998	8183	8
999	8191	0
